Q,R_pp,dR_pp,theory_pp,R_mm,dR_mm,theory_mm,Asymmetry,dAsymmetry,Asymmetry_theory
0.1239756042,1.26434682e-05,4.333701527e-06,1.009286989e-05,1.358620206e-05,4.217864705e-06,1.111130056e-05,-0.03594150642,0.2309297281,-0.04802973413
0.1249787583,6.587085888e-06,4.042249316e-06,7.074168634e-06,1.7505581e-05,4.511126097e-06,1.185862371e-05,-0.453187485,0.264439781,-0.2527073129
0.1259749909,3.387064406e-06,4.022436034e-06,4.382851184e-06,2.490958888e-05,5.023419529e-06,1.72833255e-05,-0.7606031801,0.2538566954,-0.595419972
0.1269781226,4.390737063e-06,3.781597304e-06,3.099954809e-06,2.29384202e-05,4.737319177e-06,2.724650936e-05,-0.6786774637,0.2388671045,-0.7956958154
0.127978915,3.895860831e-07,3.262059875e-06,3.799473047e-06,3.558836486e-05,5.264875606e-06,3.989810075e-05,-0.9783430644,0.1794010096,-0.8261014186
0.1289797073,5.836776532e-06,3.516778742e-06,6.202277182e-06,4.571177816e-05,5.668073156e-06,5.234675487e-05,-0.773542573,0.123531384,-0.7881339122
0.129978175,8.208417814e-06,3.629930134e-06,9.367266714e-06,6.11452374e-05,6.284682572e-06,6.149758576e-05,-0.7632880981,0.0947494831,-0.7356301075
0.130976613,2.215245991e-05,4.467916877e-06,1.208235143e-05,5.286968483e-05,5.997269159e-06,6.513534191e-05,-0.4094421058,0.09630385652,-0.687057437
0.1319796405,1.487242979e-05,3.937784074e-06,1.334761305e-05,5.565840126e-05,5.940029516e-06,6.254150158e-05,-0.5782715283,0.09500482882,-0.6482337917
0.1329734442,1.23490047e-05,3.726555368e-06,1.273555246e-05,5.201121142e-05,5.680411258e-06,5.485478025e-05,-0.6162534733,0.09952394026,-0.6231546154
0.1339764419,1.208770077e-05,3.720615316e-06,1.051411948e-05,4.717205476e-05,5.419778089e-06,4.43646533e-05,-0.5920435154,0.1066927775,-0.6168238119
0.1349771001,2.819776427e-06,3.234043707e-06,7.523615829e-06,3.51808434e-05,4.903321825e-06,3.414631131e-05,-0.8515931351,0.1587391437,-0.6388946972
0.1359777733,7.345398797e-06,3.674307532e-06,4.758063101e-06,2.112920239e-05,4.310320488e-06,2.669077565e-05,-0.4840736311,0.2068146605,-0.6974092978
0.1369737823,1.859969615e-06,3.107730236e-06,3.015432687e-06,2.099027727e-05,4.19329972e-06,2.332113218e-05,-0.8372035432,0.2516471107,-0.771007897
0.1379743959,1.070188752e-05,3.521370808e-06,2.558015196e-06,2.082520938e-05,4.17483642e-06,2.377568132e-05,-0.3210990816,0.1727874292,-0.8057230443
0.1389772893,6.976745296e-06,3.277151198e-06,3.150640152e-06,1.785727809e-05,4.121088996e-06,2.658840719e-05,-0.4381300858,0.2114464602,-0.7881142515
0.1399778731,9.594450497e-06,3.501814356e-06,4.153717006e-06,1.420573539e-05,4.135273945e-06,2.959184695e-05,-0.1937499527,0.2246637206,-0.7538214497
0.1409761024,8.328359544e-06,3.590654071e-06,4.882434177e-06,1.602417808e-05,4.480265854e-06,3.083096945e-05,-0.316017109,0.2312707198,-0.726576933
0.1419766564,1.336967273e-05,3.611260258e-06,4.886974658e-06,1.441369429e-05,4.080544656e-06,2.920028122e-05,-0.03757721517,0.1953670554,-0.7132667601
0.1429771507,5.473127519e-06,3.035835181e-06,4.133793701e-06,1.653746083e-05,3.961889112e-06,2.474234118e-05,-0.502682306,0.2257645086,-0.7136878798
0.1439776451,6.791696665e-06,3.093047996e-06,2.973654418e-06,1.930157904e-05,3.996487917e-06,1.851444699e-05,-0.4794293564,0.1926429641,-0.7232278122
0.1449735052,6.654094963e-06,3.182357677e-06,1.967232335e-06,1.068952722e-05,3.630645767e-06,1.212890959e-05,-0.2326752863,0.2774163859,-0.7208835799
0.1459785742,-2.772339068e-11,3.027639223e-06,1.582134124e-06,4.835473548e-06,3.52255158e-06,6.973714375e-06,NaN,NaN,-0.6301631278
0.1469766993,1.177552136e-06,3.0629145e-06,2.019247438e-06,3.531602884e-06,3.423763182e-06,3.991402953e-06,-0.4998881408,1.041110259,-0.3281101689
0.1479794289,7.271776628e-10,2.968016838e-06,3.088388755e-06,-5.026527251e-08,3.209668976e-06,3.144549873e-06,NaN,NaN,-0.009010375558
0.1489797891,1.454848641e-06,3.017967449e-06,4.310018221e-06,1.390520016e-06,3.251332825e-06,3.7447676e-06,0.02260818642,1.562088087,0.07017574811
0.1499755449,1.583601408e-06,2.995650955e-06,5.133226145e-06,2.775546802e-06,3.287991552e-06,4.755929299e-06,-0.2734353907,1.032553395,0.03815258522
